title,vendor,ingredients_cleaned,description_cleaned,sold_count,90 Day Repurchase Rate
100% Grass Fed Bone Broth Protein Powder - Salted Caramel,Paleovalley,"bovine bone broth, coconut milk, caramel, lucuma fruit, himalayan pink salt, monkfruit extract","beef bones, collagen, amino acids, glycine, proline, protein, collagen and protein supplementation, powder, general adult consumers",0,0.0
100% Grass Fed Bone Broth Protein Powder - Unflavoured,Paleovalley,bovine bone broth,"bovine bone broth powder, collagen and amino acids supplementation, powder, general adult consumers",0,0.0
100% Grass Fed Bone Broth Protein Powder - Vanilla,Paleovalley,"beef bones, water, coconut milk powder, vanilla, luo han guo fruit extract, pink salt, ceylon cinnamon bark","grass-fed bone broth protein, collagen, muscle growth, maintain muscle mass, maintain normal bones, protein supplement, powder, active adults",317,0.475309
100% Grass Fed Whey Protein with Colostrum - Chocolate,Paleovalley,"whey, colostrum, protease, amylase, cellulase, lactase, lipase, coconut milk powder, cacao bean, maltodextrin, chocolate, himalayan pink salt, luo han guo, acacia fiber","whey protein, colostrum, digestive enzymes, muscle growth and maintenance, protein supplementation, powder, adults seeking muscle support",0,0.0
100% Organic MCT Oil,Nature's Way,"medium chain triglycerides, coconut oil, caprylic acid, capric acid","MCT oil, caprylic acid, capric acid, supports satiety, supports energy, supports mental and physical performance, oil, adults",0,0.0
100% Plant Protein - Vanilla,MARCHON,"pea protein, brown rice protein, faba bean protein, inulin, chicory root, flaxseed, xanthan gum, sucralose","pea protein isolate, brown rice protein isolate, faba bean protein isolate, muscle growth and maintenance, bone strength, added fibre for satiety, powder, adults seeking plant-based protein or fitness support",12,0.0
100% Plant Protein 10-Travel Packs - Chocolate,Momentous,"pea protein, brown rice protein, cocoa, cane sugar, natural flavors, salt, stevia, monk fruit extract","pea protein, rice protein, support muscle mass, maintain normal bones, powder, general adult consumers, athletes",0,0.0
100% Plant Protein 10-Travel Packs - Vanilla Spice,Momentous,"pea protein, brown rice protein, natural flavors, cane sugar, cinnamon bark, ginger root, anise seed, black pepper, salt, stevia","pea protein, rice protein, support muscle mass, maintain normal bones, powder, athletes, vegans",0,0.0
100% Plant-Based Protein - Chocolate,Momentous,"pea protein, brown rice, cocoa, cane sugar, natural flavors, salt, stevia, monk fruit","pea protein, rice protein, supports muscle growth and maintenance, helps maintain normal bones, powder, adults/active individuals",113,0.407407
100% Plant-Based Protein - Vanilla Spice,Momentous,"pea protein, brown rice, natural flavors, cane sugar, cinnamon, ginger, anise, black pepper, salt, stevia","pea protein, rice protein, supports muscle growth and maintenance, helps maintain normal bones, powder, active individuals",44,0.0
10kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",63,0.0
10kg Vinyl Kettlebells,Heka,,"vinyl, cast iron, kettlebell, weight training, exercise equipment, 4kg 6kg 8kg 10kg, kettlebell",56,0.0
11:11 (alcohol free) - Multi Mushroom,Rainbo,"reishi, chaga, lions mane, cordyceps, turkey tail, oyster, mesima, agarikon, shiitake, royal sun, maitake","Reishi, Chaga, Lion’s Mane, Cordyceps, mushrooms, daily balance, mindful moments, tincture, adults",304,0.0
11:11: Super Multi-Mushroom Synergy,Rainbo,"reishi, chaga, lions mane, cordyceps, turkey tail, oyster, mesima, agarikon, shiitake, royal sun, maitake","Reishi, Chaga, Lion’s Mane, Cordyceps, Turkey Tail, functional mushrooms, daily wellness support, tincture, adults seeking functional mushroom supplementation",761,0.463035
12kg Vinyl Kettlebells,Heka,,"cast iron, kettlebell weights (4kg, 6kg, 8kg, 10kg), vinyl coating, exercise equipment, fitness training, kettlebell",27,0.0
16kg Vinyl Kettlebells,Heka,,"cast iron, kettlebell weights (4kg, 6kg, 8kg, 10kg), vinyl coating, exercise equipment, fitness training, kettlebell form, adults",46,0.0
1kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",31,0.0
1st Trimester Prenatal Pack,Perelel Health,"vitamin a, vitamin c, vitamin d, vitamin e, thiamin, riboflavin, niacin, vitamin b6, folate, vitamin b12, pantothenic acid, choline, iron, iodine, magnesium, zinc, selenium, copper, chromium, vitamin k, boron, plant cellulose, peppermint leaf, leucine, rice flour, omega-3 fatty acids, dha, epa, fatty acids, fish oil, glycerin, gelatin, lemon oil, beeswax, water, silica, ginger root","activated folate, choline, iron, vitamin D, zinc, B vitamins, Omega-3s (DHA, EPA), methylfolate, vitamin B6, ginger root extract, support maternal tissue growth, support brain and eye development, support immune function, support energy metabolism, reduce tiredness and fatigue, gentle nausea relief, capsules, soft gel, pregnant women in first trimester",3,0.0
2-in-1 Skincare Mini,Solawave,,"Red Light Therapy (630nm), Near-Infrared Light Therapy (830nm), therapeutic warmth, reduces fine lines, improves skin firmness and elasticity, enhances skin radiance and glow, soothes and de-puffs tired skin, device, face and body, general adult users",0,0.0
2-pack C3 PET Bottle,Aarke,,"food-grade PET, BPA-free, non-toxic, water bottle for carbonation, bottle, general users of Aarke Carbonator 3",0,0.0
2-pack Small PET Bottle,Aarke,,"PET, BPA-free, non-toxic, food-grade, sparkling water storage, bottle, users of Aarke Carbonators",0,0.0
2.5kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",64,0.0
2000 Air Purifier,AmazingAir,,"UltraHEPA filter, dual-action Carbon VOC filter, removes airborne particles, allergens, dog dander, VOCs, air purifier, smaller spaces, bedrooms, nurseries, home offices, device",0,0.0
2000 Carbon/VOC Filter,AmazingAir,,"Carbon, GasTrap technology, VOCs, toxic gases, formaldehyde, ozone, smog, air purifier filter, replacement filter, AmazingAir 2000, air purification, six months lifespan, filter cartridge, indoor air quality, general audience",0,0.0
2000 Genuine Filter Replacement – One Year Combo Pack,AmazingAir,,"UltraHEPA filter, Carbon/Gas Trap/VOC filters, captures ultra-fine PM 2.5 particles, removes allergens, odours, VOCs, air purifier filters, filter replacement pack, compatible with AmazingAir 2000 Air Purifier, filter set, year-round use, air purification, filter form factor, general audience",0,0.0
2000 Pre-Filter 3pk,AmazingAir,,"larger particles (dust, pet hair, debris), extends filter lifespan, pre-filter, users of AmazingAir 2000 Air Purifier",0,0.0
2000 UltraHEPA® Filter,AmazingAir,,"ultra-fine particles down to 0.003 microns, captures PM2.5 and microscopic contaminants, air filtration, filter cartridge, users of AmazingAir 2000 Air Purifier",0,0.0
20kg Vinyl Kettlebells,Heka,,"cast iron, vinyl, kettlebell, weight training, exercise, 4kg 6kg 8kg 10kg, kettlebell",25,0.0
24kg Vinyl Kettlebells,Heka,,"cast iron, functionality and comfort, vinyl kettlebell, fitness users",9,0.0
28kg Vinyl Kettlebells,Heka,,"vinyl, cast iron, kettlebell, weight training, ergonomic handle, 4kg, 6kg, 8kg, 10kg, physical fitness, kettlebell",4,0.0
2kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",29,0.0
2nd Trimester Prenatal Pack,Perelel Health,"vitamin a, vitamin c, vitamin d, vitamin e, thiamin, riboflavin, niacin, vitamin b6, folate, vitamin b12, pantothenic acid, choline, iron, iodine, magnesium, zinc, selenium, copper, chromium, vitamin k, boron, peppermint leaf, leucine, rice flour, omega-3 fatty acids, dha, epa, fish oil, glycerin, lemon oil, beeswax, water, calcium, magnesium, cellulose","activated folate, vitamin D, iron, vitamin C, zinc, iodine, choline, calcium, magnesium, DHA, EPA, maternal tissue growth support, maintenance of normal bones and teeth, support for brain function and vision, support for immune function, reduction of tiredness and fatigue, support for cognitive function and metabolism, support for muscle function, support for heart function, capsules and softgel, pregnant women in second trimester",4,0.0
3 Blade Sustainable Bamboo Razor (4-Pack),NUKKA,,"bamboo wood handles, Swedish stainless steel blades, corn-made cartridges, aloe vera strip, grooming, shaving, razor blades, men and women",177,0.0
3-Day Detox - Mixed Flavour,Health Nag,"wheatgrass, amylase, protease, cellulase, lactase, lipase, spinach, celery, cabbage, carrot, pumpkin, kale, asparagus, broccoli, green bean, fruit, vegetable, orange fibre, apple fibre, flaxseed oil, palm oil, rice protein, corn fibre, psyllium husk, fruit powder, pea protein, lactobacillus rhamnosus, guar gum","plant-based protein, ALA (Omega-3), lactase enzyme, guar gum, maintain muscle mass, maintain normal bones, maintain normal blood cholesterol levels, support lactose digestion, liquid programme, adults",29,0.0
3-Day Detox - Unflavoured,Health Nag,"wheatgrass, amylase, protease, cellulase, lactase, lipase, spinach, celery, cabbage, carrot, pumpkin, kale, asparagus, broccoli, green bean, fruit powder, orange fibre, apple fibre, flaxseed oil, palm oil fibre, rice protein, corn fibre, psyllium husk, pea protein, lactobacillus rhamnosus, guar gum","flaxseed oil, guar gum, plant-based protein, fibre, omega-3 fatty acids, MCT oil, Extra Virgin Olive Oil, support satiety, maintain muscle mass and bones, maintain normal blood cholesterol levels, 3-day liquid fasting program, liquid, adults undergoing a dietary reset",20,0.0
3-Minute Pimple Spot Treatment - Periwinkle,Solawave,,"Red Light Therapy, Blue Light Therapy, targets acne-causing bacteria, prevents breakouts, reduces redness and inflammation, device, general audience",4,0.0
3-in-1 Complete Gut Health,Beekeeper's Naturals,"tributyrin, bee propolis, bacillus subtilis, bacillus coagulans, vegetable cellulose, rice flour, vegetable stearate, silicon dioxide","Bacillus subtilis HU58, Bacillus coagulans SC-208, Propolis Extract, Tributyrin, digestive support, capsules, adults",6,0.0
3-in-1 Daily Digestive Health Capsules,MaryRuth's,"pediococcus acidilactici, lactiplantibacillus plantarum, lactobacillus plantarum, lactobacillus sakei, lactococcus lactis, lactobacillus acidophilus, bifidobacterium longum, lacticaseibacillus paracasei, lacticaseibacillus casei, bifidobacterium bifidum, lacticaseibacillus rhamnosus, bifidobacterium lactis, limosilactobacillus reuteri, lactobacillus gasseri, bifidobacterium animalis, ligilactobacillus salivarius, lactobacillus brevis, bifidobacterium breve, guar fiber, microcrystalline cellulose, hypromellose, magnesium carbonate, bamboo extract","magnesium, 23 probiotic strains, 50 billion CFU, SunFiber™ prebiotic, prebiotics, probiotics, postbiotics, reduce tiredness and fatigue, support normal muscle function, support bones and teeth, nourish gut bacteria, digestive health support, capsule, adults",0,0.0
32kg Vinyl Kettlebells,Heka,,"vinyl, cast iron, kettlebell, weight training, exercise equipment, 4kg, 6kg, 8kg, 10kg, kettlebell, physical fitness, adults",3,0.0
3500 Air Purifier,AmazingAir,,"cleanable pre-filter, dual-action Carbon Gas Trap/VOC filter, UltraHEPA® filter, removes airborne particles, reduces odours, gases, VOCs, air purifier, large rooms up to 630 sq. feet, air quality sensor with auto-mode, quiet operation, air purifier device, general indoor use",0,0.0
3500 Filter Replacement – One Year Combo Pack,AmazingAir,,"UltraHEPA filter, Carbon/Gas Trap/VOC filters, captures ultra-fine particles and allergens, removes odours and VOCs, air purifier filters, filter replacements, AmazingAir 3500 Air Purifier, filter set",0,0.0
3500 Pre-Filter 3pk,AmazingAir,,"larger particles (dust, pet hair, debris), extends filter lifespan, pre-filter, users of AmazingAir 3500 Air Purifier",0,0.0
3500 Replacement Carbon/VOC Filter,AmazingAir,,"GasTrap technology, VOCs, toxic gases, formaldehyde, ozone, smog, captures harmful VOCs and toxic gases, reduces odours, smog, and formaldehyde, air purifier filter, users of AmazingAir 3500 air purifier",0,0.0
3500 UltraHEPA® Replacement Filter,AmazingAir,,"UltraHEPA filter, captures ultra-fine PM 2.5 particles, air purification, replacement filter, AmazingAir 3500 Air Purifier, filter form, general audience",0,0.0
3kg Neo-Hex Dumbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",55,0.0
3rd Trimester Prenatal Pack,Perelel Health,"vitamin A, vitamin C, vitamin D, vitamin E, thiamin, riboflavin, niacin, vitamin B6, folate, vitamin B12, pantothenic acid, choline, iron, iodine, magnesium, zinc, selenium, copper, chromium, vitamin K, boron, peppermint leaf, leucine, rice flour, omega-3 fatty acids, DHA, EPA, fish oil, glycerin, natural lemon oil, beeswax, purified water, calcium, silica","activated folate, choline, vitamin D, vitamins A, C, zinc, B vitamins, omega-3 fatty acids (DHA, EPA), calcium, magnesium, probiotic blend, support maternal tissue growth, support brain and vision function, maintain bones, teeth, and muscle function, support immune system, reduce tiredness and fatigue, prenatal vitamin, omega-3 softgel, calcium and magnesium capsule, probiotic capsule, pregnant women in third trimester",0,0.0
4-in-1 Essential Face Tonic (Flip Cap),Ursa Major,"aloe barbadensis leaf juice, water, leuconostoc, radish root ferment filtrate, salix nigra bark extract, rosmarinus officinalis leaf water, hamamelis virginiana leaf water, glycerin, sodium hyaluronate, levulinic acid, sodium levulinate, saccharum officinarum extract, citrus limon fruit oil, citrus aurantium dulcis fruit extract, vaccinium myrtillus fruit extract, acer saccharum extract, camellia sinensis leaf extract, oryza sativa extract, betula alba juice, lactobacillus, arundinaria gigantea ferment filtrate, caprylyl glycosides, capryl glycosides, fusel glycosides, sodium cocoyl glutamate, glyceryl caprylate, olea europaea leaf extract, pseudotsuga menziesii branch oil, pseudotsuga menziesii leaf oil, lav","Aloe, Green Tea, Birch Sap, Sugarcane, Willow Bark, cleanses, exfoliates, hydrates, soothes, brightens, evens skin tone, tonic, adults",0,0.0
4-in-1 Essential Face Wipes,Ursa Major,"aloe barbadensis leaf juice, water, leuconostoc, radish root ferment filtrate, rosmarinus officinalis leaf, rosmarinus officinalis flower water, salix nigra bark extract, hamamelis virginiana pulp water, glycerin, sodium hyaluronate, levulinic acid, sodium levulinate, vaccinium myrtillus fruit extract, vaccinium myrtillus leaf extract, saccharum officinarum extract, acer saccharum extract, citrus aurantium dulcis fruit extract, citrus limon fruit extract, oryza sativa seed extract, camellia sinensis leaf extract, betula alba sap, lactobacillus, arundinaria gigantea ferment filtrate, caprylyl glycosides, capryl glycosides, wheat bran glycosides, wheat straw glycosides, polyglyceryl oleate, sodium cocoyl glutamate, glyceryl","Aloe, Witch Hazel, Green Tea, Willow Bark, Birch Sap, Sodium Hyaluronate, cleanse, exfoliate, soothe, hydrate, remove makeup and sunscreen, tighten pores, smooth skin, face wipes, general audience",0,0.0
4-in-1 Skincare Wand - Charcoal,Solawave,,"Red Light Therapy (630 nm), Galvanic Current, Facial Massage, Therapeutic Warmth, reduces wrinkles, fine lines, blemishes, puffiness, dark circles, enhances serum and cream absorption, promotes circulation and lymphatic drainage, non-invasive skincare device, skincare wand, adults seeking anti-aging and skin radiance benefits",14,0.153846
4-in-1 Skincare Wand - Rose Gold,Solawave,,"Red Light Therapy (630 nm), Galvanic Current, Facial Massage, Therapeutic Warmth, reduces wrinkles, fine lines, blemishes, puffiness, dark circles, enhances serum and cream absorption, promotes circulation and lymphatic drainage, non-invasive skincare device, skincare wand, adults seeking anti-aging and skin radiance benefits",10,0.089286
"40,000 Volts",Trace,"magnesium, chloride, sodium, potassium, sulfate, boron, potassium chloride, citric acid","magnesium, potassium, chloride, reduce tiredness and fatigue, support muscle and nerve function, maintain electrolyte balance, maintain normal blood pressure, electrolyte concentrate, drink additive, active individuals",1209,0.366261
4kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",65,0.0
4kg Vinyl Kettlebells,Heka,,"vinyl, cast iron, kettlebell, weight training, exercise equipment, kettlebell, adults",11,0.0
5 days Variety 3,Prolon,"navy bean flour, rice flour, rice starch, carrot, salt, extra virgin olive oil, chicory root fibre, yeast extract, onion powder, celery seeds, ginger, paprika, lentils, curry, green pea flour, chives, garlic powder, spinach, red bell pepper, tomato, basil, chickpeas, leeks, turmeric, rosemary, bay leaves, purified water, vegetable glycerin, citric acid, organic hibiscus leaves, organic spearmint leaves, organic lemon peel, organic lemongrass, inulin, almond butter, brown rice crispy, cocoa powder, almonds, chocolate chips, rolled oats, brown rice syrup, flaxseed oil, rice dextrin, grape juice, macadamias, honey, pecans, coconut, flaxseed, coconut oil, coconut flour, sea salt, sesame seeds, tapioca flour, chia seeds, flax seeds, sunflower oil, kale, coconut sugar, coconut vinegar, onion, chili pepper, cumin seed, black","vitamin C, vitamin D, iron, omega-3s from algal oil, plant-based ingredients, soups, nut bars, savoury snacks, multivitamins, minerals, fruit-flavoured glycerol mix, herbal teas, support daily nutrition, balanced meals and snacks, five-day meal programme, plant-based soups, cold-pressed nut bars, savoury bites, supplements, hydration, kit, soups, bars, snacks, supplements, adults",0,0.0
5 days Variety 4,Prolon,"potato flakes, rice flour, white beans, peas, carrots, chicory root fibre, sea salt, onion, leeks, cabbage, olive oil, potato starch, rosemary extract, tomato, celery, yeast extract, spinach, parsley, turmeric, whole grain brown rice, basil, green pea flour, onion powder, rice starch, extra virgin olive oil, salt, chives, garlic powder, navy bean flour, celery seeds, ginger, paprika, chickpeas, lentils, curry, bay leaves, red bell pepper, purified water, vegetable glycerin, citric acid, organic hibiscus leaves, organic spearmint leaves, organic lemon peel, organic lemongrass, inulin, almond butter, brown rice crispy, cocoa powder, almonds, cane sugar, unsweetened chocolate, cocoa butter, rolled oats, brown rice syrup, flaxseed oil, rice dextrin, grape juice, honey, pecans, coconut, flaxseed, coconut oil, coconut flour, mixed","vitamin C, B6, B12, iron, magnesium, zinc, copper, selenium, folate, omega-3s, plant-based soups, nut bars, snacks, supplements, L-Drink, herbal teas, reduce tiredness and fatigue, support energy metabolism, support immune function, support psychological function, fasting-mimicking plan, plant-based meals and snacks, powder, bars, drinks, teas, adults following a fasting-mimicking diet",0,0.0
5-HTP,Vimergy,"griffonia simplicifolia seed, cellulose, water","5-HTP from Griffonia simplicifolia seeds, mood support, capsule, vegetarians",80,0.0
5-HTP (Liposomal),Renue By Science,"5-htp, vegetable cellulose, sunflower lecithin, rice flour, microcrystalline cellulose","5-HTP, liposomal delivery system, support serotonin production, supplement, adults",49,0.0
5-HTP - 200mg,NOW Foods,,,0,0.0
5-HTP - 50mg,NOW Foods,,,0,0.0
5-HTP 100 mg,Pure Encapsulations,"5-hydroxytryptophan, plant fiber, hydroxypropyl methyl cellulose","5-HTP from Griffonia simplicifolia, mood support, capsule, vegetarians",282,0.0
5-Hydroxytryptophan,Thorne,"5-hydroxytryptophan, vitamin b6, hypromellose, leucine, microcrystalline cellulose, silicon dioxide","5-Hydroxytryptophan (5-HTP), vitamin B6, reduce tiredness and fatigue, support psychological function, capsule or tablet (implied), adults seeking mental focus and energy",227,0.0
5-MTHF,Vimergy,"folate, vitamin b12, vegetable cellulose, cellulose","methylfolate, vitamin B12 (adenosylcobalamin, methylcobalamin), support psychological function, energy metabolism, immune system function, reduce tiredness and fatigue, support homocysteine metabolism and cell division, capsule, adults",260,0.563953
5-MTHF 1 mg (L-5-Methyltetrahydrofolate),Thorne,"folate, hypromellose, leucine, microcrystalline cellulose, silicon dioxide","5-MTHF (methylated folate), supports normal blood formation, psychological function, maternal tissue growth during pregnancy, reduces tiredness and fatigue, capsule, pregnant women",0,0.0
5-MTHF 5 mg,Thorne,"folate, hypromellose, leucine, microcrystalline cellulose, silicon dioxide","5-MTHF (methylated folate), supports psychological function, blood formation, maternal tissue growth during pregnancy, reduces tiredness and fatigue, supports homocysteine metabolism and immune function, capsule, women planning or expecting pregnancy",629,0.5
50+ Multivitamin & M CoQ10 & Immune Support,Cytoplan,"cruciferous vegetable, zinc, iron, copper, manganese, chromium, molybdenum, selenium, vitamin C, calcium, magnesium, beta glucan, coenzyme Q10, pantothenic acid, vitamin E, iodine, vitamin B1, vitamin B2, acerola, vitamin D3, vitamin B6, vitamin B3, beta carotene, vitamin K2, boron, folic acid, vitamin B12, biotin, maltodextrin, ascorbyl palmitate, ascorbic acid, corn starch, sucrose, silicon dioxide, microcrystalline cellulose, MCT oil, vegetable cellulose","vitamin C, vitamin D, zinc, selenium, iron, magnesium, B vitamins, iodine, vitamin K2, manganese, vitamin D3 from vegan lichen, active B12, hydroponically grown botanicals, CoQ10, support immune system, reduce tiredness and fatigue, support cognitive function and mental sharpness, maintain normal bones, support mobility and independence, multivitamin, capsules or tablets (implied), men, post-menopausal women, adults 50+",0,0.0
5kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",67,0.0
6kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",49,0.0
6kg Vinyl Kettlebells,Heka,,"vinyl, cast iron, kettlebell, weight training, exercise equipment, 4kg 6kg 8kg 10kg, kettlebell",24,0.0
7 Bar Sampler,IQBAR,"almonds, pea protein, tapioca starch, tapioca fiber, vegetable fiber, cocoa, coconut oil, unsweetened chocolate, water, cocoa butter, sea salt, lion's mane, stevia, vitamin e, peanuts, peanut flour, cinnamon, coconut, blueberries, lemon juice, lemon, banana, vegetable juice, citric acid","plant protein, vitamin E, muscle growth, maintenance of normal bones, cell protection from oxidative stress, snack, post-workout refuelling, midday pick-me-up, bar, busy adults",1957,0.454359
7-in-1 Immunity Support Liposomal - Ginger Vanilla,MaryRuth's,"vitamin c, vitamin d, vitamin e, zinc, organic sunflower seed oil, phosphatidylcholine, european elderberry, echinacea purpurea root, ginger root oil, organic vegetable glycerin, purified water, potassium bicarbonate, organic vanilla extract","elderberry, echinacea, ginger, vitamin C, vitamin E, vegan vitamin D3, zinc, immune support, antioxidant defense, liquid supplement, adults",0,0.0
72% Cacao,Ombar,"unroasted cacao, coconut sugar, cocoa butter, cocoa solids","unroasted cacao, coconut sugar, cocoa butter, chocolate enjoyment, chocolate bar, general audience",104,0.0
7kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",35,0.0
8kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",37,0.0
8kg Vinyl Kettlebells,Heka,,"cast iron, kettlebell weights (4kg, 6kg, 8kg, 10kg), vinyl dipped base, exercise equipment, adults",41,0.0
90 Day Refill,Fatty15,"pentadecanoic acid, vegetable cellulose","C15:0 (pentadecanoic acid), vegan-friendly capsule, daily capsule, adults seeking daily wellbeing",600,0.359459
90% Cacao,Ombar,"cacao, coconut sugar, cocoa butter, cocoa solids","Nacional Arriba cacao, coconut sugar, intense chocolate taste, chocolate bar, chocolate enthusiasts",250,0.378151
90-Day Starter Kits,Fatty15,"pentadecanoic acid, vegetable cellulose","C15:0 (essential fatty acid), daily essential fatty acid support, capsules, adults seeking to supplement C15:0 intake, vegan-friendly",1244,0.409214
9kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",14,0.0
:rise Cocoa,MUD\WTR,"cocoa powder, cinnamon, lion's mane mushroom, turmeric, black tea, reishi mushroom, ginger, cardamom, nutmeg, cloves, black pepper, pink salt","cocoa, masala chai spices, Lion’s Mane mushroom extract, Reishi mushroom extract, coffee alternative, daily ritual, drink, adults seeking gentle start to day",107,0.253886
AB Complete - Chocolate,Lineage,"beef protein isolate, bovine heart, bovine liver, bovine kidney, bovine spleen, bovine pancreas, bovine colostrum, pomegranate, blackberry, lycium berry, black currant, grape, blueberry, cranberry, raspberry, maqui berry, acai, acerola berry, coconut sugar, cocoa, coconut water, sea salt","grass-fed beef protein isolate, organ blend (heart, liver, kidney, spleen, pancreas), colostrum, organic berry mix, coconut water, sea salt, maintain muscle and bones, provide vitamin A, B12, iron, chocolate powder, general adult consumers",0,0.0
AB Complete - Original,Lineage,"beef isolate protein, maple syrup powder, beef organ blend, liver, heart, kidney, spleen, pancreas, date powder, coconut water powder, colostrum, blackberry, goji, black currant, grape, pomegranate, blueberry, cranberry, raspberry, maqui, acai, acerola berry, sea salt","grass-fed beef protein, organ meats (liver, heart, kidney, spleen, pancreas), colostrum, vitamin B12, iron, organic fruit and berry blend, coconut water, sea salt, muscle growth, maintenance, normal bone health, reduce tiredness and fatigue, normal energy metabolism, support nervous system, normal cognitive function, formation of red blood cells and haemoglobin, powder, active lifestyles, general adult consumers seeking nutrient-rich protein",0,0.0
